NULL,MMH網帶式連續光輝加熱滲碳淬火爐,英鎮熱處理公司,台灣,MMH-40350,,1,細小五金零件熱處理加工,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,新日發鐵工廠,台灣,MMH-30250,,2,彈簧片熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,龍來興業公司,台灣,MMH-30250,,1,針車零件熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,三環織針公司,台灣,MMH-20250,,1,針車零件熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,中環織針公司,台灣,MMH-25250,,1,針車零件熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,台灣椿本公司,台灣,MMH-35350,,2,鏈片熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,?中松琴公司,台灣,MMH-25250,,1,精密電子螺絲熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,?中元川公司,大陸,MMH-30350,,1,精密電子螺絲熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,統農公司,台灣,MMH-20450,,1,打火石熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,榮大熱處理公司,大陸,MMH-40450,,1,彈片奧斯回火熱處理（AUS-TEMPER）,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,金益成精密工業公司,大陸,MMH-20300,,1,不銹鋼軸心熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,?中元川公司,大陸,MMH-20250,,1,不銹鋼螺絲熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,偉群製刀公司,大陸,MMH-20400,,1,鋼帶熱處理,99,NULL,1,1
NULL,MMH網帶式連續光輝加熱滲碳淬火爐,PT. SINAR METALINDO SENTOSA,印尼,MMH-30450,,1,細小五金零件熱處理加工,99,NULL,1,1
NULL,MH電熱式網帶連續熱處理全套設備,英鎮熱處理公司,台灣,MH-400,,1,五金零件熱處理加工,99,NULL,1,1
